id,time_start,time_end
lying_down_rest_5_min,1680644300.876,1680644606.66
general_warmup_3_min,1680644871.365,1680645069.346
bike_100,1680645130.453,1680645376.825
bike_130,1680645380.231,1680645621.094
bike_160,1680645623.366,1680645867.483
sitting_recovery_post_bike_5_min,1680645887.137,1680646187.678
walking_1_6,1680646222.634,1680646464.273
walking_2_2,1680646465.658,1680646707.691
walking_2_8,1680646712.992,1680646954.147
running_5,1680646957.597,1680647198.686
running_5_6,1680647200.944,1680647439.116
running_6_2,1680647440.857,1680647473.307
sitting_recovery_post_run_5_min,1680647484.295,1680647835.329
